matchid,me,you,won,yourDead,myDead
battle-randombattle-168,mallis,stabbymarten,true,6,5
battle-randombattle-168,stabbymarten,mallis,false,5,6
battle-randombattle-169,stabbymarten,mallis,false,5,6
battle-randombattle-169,mallis,stabbymarten,true,6,5
battle-randombattle-170,stabbymarten,mallis,true,6,4
battle-randombattle-170,mallis,stabbymarten,false,4,6
battle-randombattle-171,stabbymarten,mallis,false,5,6
battle-randombattle-171,mallis,stabbymarten,true,6,5
battle-randombattle-172,stabbymarten,mallis,false,5,6
battle-randombattle-172,mallis,stabbymarten,true,6,5
battle-randombattle-173,stabbymarten,mallis,true,6,4
battle-randombattle-173,mallis,stabbymarten,false,4,6
battle-randombattle-174,stabbymarten,mallis,true,6,3
battle-randombattle-174,mallis,stabbymarten,false,3,6
battle-randombattle-175,stabbymarten,mallis,true,6,5
battle-randombattle-175,mallis,stabbymarten,false,5,6
battle-randombattle-176,mallis,stabbymarten,true,6,5
battle-randombattle-176,stabbymarten,mallis,false,5,6
battle-randombattle-177,stabbymarten,mallis,true,6,5
battle-randombattle-177,mallis,stabbymarten,false,5,6
battle-randombattle-178,stabbymarten,mallis,true,6,4
battle-randombattle-178,mallis,stabbymarten,false,4,6
battle-randombattle-179,elitefourmalvax,mallis,false,4,6
battle-randombattle-179,mallis,elitefourmalvax,true,6,4
battle-randombattle-180,elitefourmalvax,mallis,false,4,6
battle-randombattle-180,mallis,elitefourmalvax,true,6,4
battle-randombattle-181,elitefourmalvax,mallis,true,6,5
battle-randombattle-181,mallis,elitefourmalvax,false,5,6
battle-randombattle-182,elitefourmalvax,mallis,false,4,6
battle-randombattle-182,mallis,elitefourmalvax,true,6,4
battle-randombattle-183,elitefourmalvax,mallis,true,6,5
battle-randombattle-183,mallis,elitefourmalvax,false,5,6
battle-randombattle-184,elitefourmalvax,mallis,false,3,6
battle-randombattle-184,mallis,elitefourmalvax,true,6,3
battle-randombattle-185,elitefourdiantha,mallis,false,4,6
battle-randombattle-185,mallis,elitefourdiantha,true,6,4
battle-randombattle-186,elitefourdiantha,mallis,true,6,2
battle-randombattle-186,mallis,elitefourdiantha,false,2,6
battle-randombattle-187,elitefourdiantha,mallis,false,4,6
battle-randombattle-187,mallis,elitefourdiantha,true,6,4
battle-randombattle-188,elitefourdiantha,mallis,false,4,6
battle-randombattle-188,mallis,elitefourdiantha,true,6,4
battle-randombattle-189,elitefourdiantha,mallis,true,6,5
battle-randombattle-189,mallis,elitefourdiantha,false,5,6
battle-randombattle-190,elitefourdiantha,mallis,false,5,6
battle-randombattle-190,mallis,elitefourdiantha,true,6,5
battle-randombattle-191,elitefourdiantha,mallis,false,3,6
battle-randombattle-191,mallis,elitefourdiantha,true,6,3
battle-randombattle-192,elitefourdiantha,mallis,false,4,6
